Repetition,"Start date","End date",Duration,Benchmark,"Class","Zram % (gb)","Tempo de CPU","Memoria media (KB)","Falhas maiores","Falhas menores",Swaps,"Troca de contextos","Troca de contextos voluntarias","Uso de cpu"
1,"26/02/2025 16:56:17","ERRO NA EXECUCAO","0","bt","C","  0% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"26/02/2025 17:02:28","26/02/2025 17:06:45","0:36.68","bt","C","  0% ( 0 gb)","0.49","0","2592","178361","0","878","8002","5%"
1,"26/02/2025 17:06:57","26/02/2025 17:14:03","3:33.32","bt","C"," 25% ( 0 gb)","0.72","0","71136","210377","0","6963","56","399%"
2,"26/02/2025 17:14:03","26/02/2025 17:21:07","3:32.15","bt","C"," 25% ( 0 gb)","0.41","0","1085","176603","0","5837","49","399%"
1,"26/02/2025 17:21:18","26/02/2025 17:28:25","3:33.73","bt","C"," 50% ( 0 gb)","1.02","0","137979","187749","0","18634","144","398%"
2,"26/02/2025 17:28:25","26/02/2025 17:35:29","3:32.47","bt","C"," 50% ( 0 gb)","0.42","0","22","176592","0","6131","39","399%"
1,"26/02/2025 17:35:40","26/02/2025 17:42:46","3:33.79","bt","C"," 75% ( 0 gb)","1.79","0","173783","308267","0","4543","32","398%"
2,"26/02/2025 17:42:46","26/02/2025 17:49:50","3:31.48","bt","C"," 75% ( 0 gb)","0.40","0","2","176577","0","5363","11","399%"
1,"26/02/2025 17:50:01","26/02/2025 17:57:07","3:32.72","bt","C","100% ( 0 gb)","2.46","0","171854","308275","0","6636","39","399%"
2,"26/02/2025 17:57:07","26/02/2025 18:05:12","3:44.91","bt","C","100% ( 0 gb)","7.70","0","1389402","298765","0","139653","1589","386%"
1,"26/02/2025 18:05:24","ERRO NA EXECUCAO","0","cg","C","  0% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"26/02/2025 18:05:34","ERRO NA EXECUCAO","0","cg","C","  0% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"26/02/2025 18:05:56","ERRO NA EXECUCAO","0","cg","C"," 25% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"26/02/2025 18:06:04","ERRO NA EXECUCAO","0","cg","C"," 25% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"26/02/2025 18:06:24","ERRO NA EXECUCAO","0","cg","C"," 50% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"26/02/2025 18:06:33","ERRO NA EXECUCAO","0","cg","C"," 50% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"26/02/2025 18:06:53","ERRO NA EXECUCAO","0","cg","C"," 75% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"26/02/2025 18:07:03","ERRO NA EXECUCAO","0","cg","C"," 75% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"26/02/2025 18:07:23","ERRO NA EXECUCAO","0","cg","C","100% ( 0 gb)","0","0","0","0","0","0","0","0"
2,"26/02/2025 18:07:32","ERRO NA EXECUCAO","0","cg","C","100% ( 0 gb)","0","0","0","0","0","0","0","0"
1,"26/02/2025 18:07:53","26/02/2025 18:08:34","0:20.20","ep","C","  0% ( 0 gb)","0.01","0","6","1182","0","975","15","398%"
2,"26/02/2025 18:08:34","26/02/2025 18:09:22","0:20.10","ep","C","  0% ( 0 gb)","0.00","0","0","1185","0","485","5","399%"
1,"26/02/2025 18:09:33","26/02/2025 18:10:20","0:20.07","ep","C"," 25% ( 0 gb)","0.00","0","0","1184","0","458","4","399%"
2,"26/02/2025 18:10:20","26/02/2025 18:11:01","0:20.06","ep","C"," 25% ( 0 gb)","0.00","0","0","1183","0","563","4","399%"
1,"26/02/2025 18:11:11","26/02/2025 18:11:59","0:27.75","ep","C"," 50% ( 0 gb)","0.00","0","0","1183","0","488","5","317%"
2,"26/02/2025 18:11:59","26/02/2025 18:12:39","0:20.12","ep","C"," 50% ( 0 gb)","0.00","0","0","1189","0","491","5","399%"
1,"26/02/2025 18:12:49","26/02/2025 18:13:30","0:20.99","ep","C"," 75% ( 0 gb)","0.00","0","0","1181","0","472","5","387%"
