Repetition,"Start date","End date",Duration,Benchmark,"Class","Zram % (gb)","Tempo de CPU","Memoria media (KB)","Falhas maiores","Falhas menores",Swaps,"Troca de contextos","Troca de contextos voluntarias","Uso de cpu"
1,"14/11/2024 18:54:22","14/11/2024 18:54:22","0:00.00","BT","C","  0% ( 0 gb)","0.00","0","0","28","0","0","1","69%"
2,"14/11/2024 18:54:22","14/11/2024 18:54:22","0:00.00","BT","C","  0% ( 0 gb)","0.00","0","0","28","0","0","1","69%"
3,"14/11/2024 18:54:22","14/11/2024 18:54:22","0:00.00","BT","C","  0% ( 0 gb)","0.00","0","0","28","0","0","1","68%"
4,"14/11/2024 18:54:22","14/11/2024 18:54:22","0:00.00","BT","C","  0% ( 0 gb)","0.00","0","0","28","0","0","1","67%"
5,"14/11/2024 18:54:22","14/11/2024 18:54:22","0:00.00","BT","C","  0% ( 0 gb)","0.00","0","0","28","0","0","1","70%"
6,"14/11/2024 18:54:22","14/11/2024 18:54:22","0:00.00","BT","C","  0% ( 0 gb)","0.00","0","0","28","0","0","1","70%"
7,"14/11/2024 18:54:22","14/11/2024 18:54:22","0:00.00","BT","C","  0% ( 0 gb)","0.00","0","0","28","0","0","1","69%"
8,"14/11/2024 18:54:22","14/11/2024 18:54:23","0:00.00","BT","C","  0% ( 0 gb)","0.00","0","0","28","0","0","1","70%"
9,"14/11/2024 18:54:23","14/11/2024 18:54:23","0:00.00","BT","C","  0% ( 0 gb)","0.00","0","0","28","0","0","1","69%"
10,"14/11/2024 18:54:23","14/11/2024 18:54:23","0:00.00","BT","C","  0% ( 0 gb)","0.00","0","0","28","0","0","1","70%"
11,"14/11/2024 18:54:23","14/11/2024 18:54:23","0:00.00","BT","C","  0% ( 0 gb)","0.00","0","0","28","0","0","1","71%"
12,"14/11/2024 18:54:23","14/11/2024 18:54:23","0:00.00","BT","C","  0% ( 0 gb)","0.00","0","0","28","0","0","1","69%"
13,"14/11/2024 18:54:23","14/11/2024 18:54:23","0:00.00","BT","C","  0% ( 0 gb)","0.00","0","0","28","0","0","1","70%"
