Repetition,"Start date","End date",Duration,Benchmark,"Class","Zram % (gb)","Tempo de CPU","Memoria media (KB)","Falhas maiores","Falhas menores",Swaps,"Troca de contextos","Troca de contextos voluntarias","Uso de cpu"
1,"13/11/2024 14:42:32","13/11/2024 14:42:32","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","69%"
2,"13/11/2024 14:42:32","13/11/2024 14:42:32","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","69%"
3,"13/11/2024 14:42:32","13/11/2024 14:42:32","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","67%"
4,"13/11/2024 14:42:32","13/11/2024 14:42:32","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","29","0","0","1","50%"
5,"13/11/2024 14:42:32","13/11/2024 14:42:32","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","52%"
6,"13/11/2024 14:42:32","13/11/2024 14:42:33","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","54%"
7,"13/11/2024 14:42:33","13/11/2024 14:42:33","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","65%"
8,"13/11/2024 14:42:33","13/11/2024 14:42:33","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","50%"
9,"13/11/2024 14:42:33","13/11/2024 14:42:33","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","50%"
10,"13/11/2024 14:42:33","13/11/2024 14:42:33","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","51%"
11,"13/11/2024 14:42:33","13/11/2024 14:42:33","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","46%"
12,"13/11/2024 14:42:33","13/11/2024 14:42:33","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","63%"
13,"13/11/2024 14:42:33","13/11/2024 14:42:33","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","66%"
