Repetition,"Start date","End date",Duration,Benchmark,"Class","Zram % (gb)","Tempo de CPU","Memoria media (KB)","Falhas maiores","Falhas menores",Swaps,"Troca de contextos","Troca de contextos voluntarias","Uso de cpu"
1,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","70%"
2,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","70%"
3,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","69%"
4,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","0","73%"
5,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","69%"
6,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","70%"
7,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","67%"
8,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","0","76%"
9,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","29","0","0","1","65%"
10,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","67%"
11,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","68%"
12,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","69%"
13,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","66%"
14,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","29","0","0","1","67%"
15,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","67%"
16,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","67%"
17,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","66%"
18,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","68%"
19,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","68%"
20,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","67%"
21,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","72%"
22,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","67%"
23,"14/11/2024 18:26:51","14/11/2024 18:26:51","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","69%"
24,"14/11/2024 18:26:51","14/11/2024 18:26:52","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","29","0","0","1","67%"
25,"14/11/2024 18:26:52","14/11/2024 18:26:52","0:00.00","BT","S","  0% ( 0 gb)","0.00","0","0","28","0","0","1","65%"
