Repetition,"Start date","End date",Duration,Benchmark,"Class","Zram % (gb)","Tempo de CPU","Memoria media (KB)","Falhas maiores","Falhas menores",Swaps,"Troca de contextos","Troca de contextos voluntarias","Uso de cpu"
1,"28/02/2025 16:56:19","28/02/2025 17:03:22","3:32.13","bt","C","  0% ( 0 gb)","0.34","0","6","176575","0","4936","20","399%"
2,"28/02/2025 17:03:22","28/02/2025 17:10:24","3:31.43","bt","C","  0% ( 0 gb)","0.33","0","0","176578","0","4494","7","399%"
1,"28/02/2025 17:10:34","28/02/2025 17:17:37","3:32.37","bt","C"," 25% ( 0 gb)","0.36","0","0","176578","0","4384","4","399%"
2,"28/02/2025 17:17:37","28/02/2025 17:24:39","3:31.40","bt","C"," 25% ( 0 gb)","0.33","0","0","176578","0","4440","4","399%"
1,"28/02/2025 17:24:49","28/02/2025 17:31:52","3:31.42","bt","C"," 50% ( 0 gb)","0.34","0","0","176577","0","4596","4","399%"
2,"28/02/2025 17:31:52","28/02/2025 17:38:54","3:31.14","bt","C"," 50% ( 0 gb)","0.35","0","0","176580","0","4606","7","399%"
1,"28/02/2025 17:39:04","28/02/2025 17:46:06","3:31.42","bt","C"," 75% ( 0 gb)","0.33","0","0","176577","0","4539","4","399%"
2,"28/02/2025 17:46:06","28/02/2025 17:53:09","3:31.66","bt","C"," 75% ( 0 gb)","0.33","0","0","176579","0","4380","4","399%"
1,"28/02/2025 17:53:20","28/02/2025 18:00:21","3:30.57","bt","C","100% ( 0 gb)","0.34","0","0","176578","0","4787","7","399%"
2,"28/02/2025 18:00:21","28/02/2025 18:07:24","3:31.56","bt","C","100% ( 0 gb)","0.36","0","0","176579","0","4564","4","399%"
1,"28/02/2025 18:07:34","28/02/2025 18:09:15","0:50.50","cg","C","  0% ( 0 gb)","0.45","0","0","227419","0","1216","10","399%"
2,"28/02/2025 18:09:15","28/02/2025 18:10:56","0:50.45","cg","C","  0% ( 0 gb)","0.43","0","0","227420","0","1233","9","399%"
1,"28/02/2025 18:11:06","28/02/2025 18:12:47","0:50.51","cg","C"," 25% ( 0 gb)","0.45","0","0","227422","0","1267","9","399%"
2,"28/02/2025 18:12:47","28/02/2025 18:14:28","0:50.60","cg","C"," 25% ( 0 gb)","0.44","0","0","227422","0","1182","9","399%"
1,"28/02/2025 18:14:38","28/02/2025 18:16:19","0:50.52","cg","C"," 50% ( 0 gb)","0.44","0","0","227420","0","1323","9","399%"
2,"28/02/2025 18:16:19","28/02/2025 18:18:01","0:50.50","cg","C"," 50% ( 0 gb)","0.44","0","0","227422","0","1275","9","399%"
